seq_id,domain,phylum,class,order,family,genus,species
JN258044.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Hymenolepis,Hymenolepis diminuta
KX020372.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus granulosus
HG423827.1,Eukaryota,Porifera,Demospongiae,Polymastiida,Polymastiidae,Polymastia,Polymastia cf. conigera AP-2013
FN667718.1,Eukaryota,Porifera,Demospongiae,Verongiida,Ianthellidae,Hexadella,Hexadella racovitzai
KP738279.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Spirometra,Spirometra erinaceieuropaei
KY328682.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus multilocularis
KR270683.1,Eukaryota,Porifera,Demospongiae,Tetractinellida,Corallistidae,Isabella,Isabella mirabilis
JX477017.1,Eukaryota,Porifera,Demospongiae,Suberitida,Halichondriidae,Hymeniacidon,Hymeniacidon perlevis
DQ075753.1,Eukaryota,Porifera,Demospongiae,Agelasida,Agelasidae,Agelas,Agelas cervicornis
KY328673.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus multilocularis
LN084862.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Spirometra,Spirometra erinaceieuropaei
MF004273.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus granulosus
EF519538.1,Eukaryota,Porifera,Demospongiae,Agelasida,Agelasidae,Agelas,Agelas clathrodes
KM185726.1,Eukaryota,Porifera,Demospongiae,Tetractinellida,Corallistidae,Isabella,Isabella harborbranchi
KY328694.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus multilocularis
KX039938.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus granulosus
JX912215.1,Eukaryota,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia gibberosa
KU060684.1,Eukaryota,Porifera,Demospongiae,Axinellida,Axinellidae,Stylissa,Stylissa carteri
